(47945599999,6.197900317234756,-12304.961539895185,"KITADAITO, JA")
(47927599999,6.050632673015386,-12010.324386870761,"TARAMA, JA")
(47938699999,4.980002418302162,-9874.40496317002,"AGUNI ISLAND, JA")
(69454499999,4.913305979460142,-9684.9186978653,)
(40832099999,4.844047619047619,-9501.77134920635,"ABAMUSA ISLAND, IR")
(71999499999,4.802118758422887,-9504.21622446306,"SEDCO 710, CA")
(23541099999,4.677115871939098,-9277.590195197856,"HEJGIJAHA RIVER, RS")
(69150499999,4.5210991789819674,-8951.227357963935,)
(72099799999,4.455301041661628,-8934.509489376082,"DELTA DENTON, MT US")
(71204099999,4.256324247031815,-8540.803243500215,"MANKOTA, CA")
(72100999999,4.189282940376905,-8397.376036933229,"OSCAR ROY, MT US")
(71450399999,4.104609448990157,-8110.995168385666,"ELBOW MARS AND, CA")
(71914199999,3.770832507495711,-7465.410243579089,"SPENCE BAY AIRPORT AND, CA")
(71868499999,3.628716645977837,-7169.082870758979,"HUDSON BAY MARS, CA")
(78383099999,3.54335021291969,-6951.563933316072,"CAYMAN BRAC, CJ")
(16228099999,3.528602430554747,-6941.702150408752,"PRETURO, IT")
(40632099999,3.52569482384904,-7028.976879740038,"TUZ, IZ")
(62675099999,3.4338636363546056,-6701.114747456898,"AGIG, SU")
(01172099999,3.3979166666668252,-6715.99077380984,"FINNOY I HAMAROY, NO")
(37578099999,3.368412629461714,-6644.155569580918,"DANACHY, AJ")
(72638899999,3.2648753230504335,-6419.774580128782,"LANSING SHOAL LS, MI US")
(74912099999,3.2480005702447325,-6284.674021457945,"QUEBEC ISLE, CA")
(29639099999,3.2268009318970146,-6278.162603416874,"KOURAK, RS")
(20647099999,3.2164875689638954,-6268.166288020839,"OSTROV GOLETS, RS")
(30139099999,3.178858364932239,-6272.396029577453,"PUSHCHINA, RS")
(28611099999,3.160525554492396,-6196.2916349212555,"MUSLJUMOVO, RS")
(71020599999,3.1059138054189708,-6226.298756072232,"WEKWEETI, CA")
(74906899999,3.0878080886605455,-5947.2154327174185,"MAXTON NC LAURINBURG MAXTON, NC US")
(99999953159,3.0157946328277743,-6014.846279990408,"CAMERON 25 SSE, AZ US")
(72051699999,3.000548697378309,-6011.12215377976,"AFTON MUNICIPAL, WY US")
(71050599999,2.944553864423699,-5809.37042203904,"PUNTZI MOUNTAIN AUT, CA")
(99999943238,2.943155131701912,-5697.86550856946,"YONGIL MAN MAG 12, KS")
(72052900429,2.933204351748549,-5862.405699437375,"HOPKINS FIELD AIRPORT, CO US")
(23848099999,2.870984289883858,-5680.836896055945,"NEFTEJUGANSK, RS")
(34307099999,2.8428295255195173,-5585.502882391377,"ARTEMOVKA, UP")
(95315099999,2.8342759664248054,-5588.608802505159,"MOUNT PHILLIP, AS")
(71787099999,2.730099725335389,-5461.375647280005,"MECHANIC SETTLEMENT RCS, CA")
(71113399999,2.7189099650055377,-5379.717069702533,"WHISTLER ALTA LAKE AND, CA")
(72497199999,2.708037550539602,-5323.586434953816,"CHICO MUNICIPAL AND, CA US")
(72100699999,2.7041422303157803,-5407.228773568736,"LIMA JUDITH GAP, MT US")
(72209499999,2.6594665337403613,-5263.905150878481,"GRAND PRAIRIE MUNICIPAL, TX US")
(01082099999,2.643569914757141,-5293.92923831512,"NYRUD, NO")
(52788099999,2.6344827586201545,-5182.397413792046,"BOGUS CHINESE, CH")
(50936099999,2.6297506362554572,-5108.06508463625,"BAICHENG NORTHEAST, CH")
(06675099999,2.6270624507493006,-5250.0999985074895,"EINSIEDELN, SZ")
(72357099999,2.6169453978893302,-5180.489594911735,"NORMAN MAX WESTHEIM, OK US")
(69681499999,2.611874475423247,-5169.465268563569,)
(31790099999,2.6086112141077007,-5154.162287426546,"VERINO, RS")
(72102599999,2.5866396296935688,-5171.422298096858,"NOVEMBER MOHALL, ND US")
(99999953170,2.5745007735499668,-5134.421049201604,"HEBER 3 SE, AZ US")
(89016099999,2.558911163351565,-5128.203915700253,"WASA EPS, AY")
(50639099999,2.552457313798368,-4959.629630950735,"ZALANTUN, CH")
(89646099999,2.5521710049214392,-5126.000710938811,"SITRY POINT, AY")
(71711599999,2.543023116276374,-5049.205796312148,"ST LEONARD AUTO8, CA")
(40990499999,2.540962944836134,-5045.744655584292,"FOB SPIN BULDAK, AF")
(74912199999,2.5408670060114846,-4915.7225446160555,"INDIAN HOUSE LAKE, CA")
(69459499999,2.5094201715796123,-4924.764773738442,"COP CURRY, AF")
(72102399999,2.5058510857277874,-5011.530534657026,"LIMA BOWBELLS, ND US")
(69680499999,2.494216409405427,-4938.6525965026,)
(71762099999,2.4890283492571186,-4937.432241530197,"ISKUT RIVER AUT, CA")
(72086800294,2.474631790680535,-4945.055822990158,"WATFORD CITY MUNICIPAL AIRPORT, ND US")
(25077099999,2.4577536305073986,-4857.860266928191,"CAPE KJANGTOKJNMANK, RS")
(40938999999,2.4563930467125914,-4879.46608998288,"FOB VICTORY STONE, AF")
(72101499999,2.440596694872734,-4878.29847516843,"DELTA MAX, ND US")
(40358499999,2.4301709638701543,-4762.7772652466365,"ARAR AND, SA")
(16610099999,2.3919796929251227,-4651.863084236672,"KOMOTINI, GR")
(72203999999,2.369092013047829,-4667.210259991563,"FORT LAUDERDALE EXEC, FL US")
(52679099999,2.3403548784154866,-4537.778809595703,"CAIQI SOUTHEAST, CH")
(71813499999,2.3161064683820825,-4567.497419807648,"NATASHQUAN AIRPORT, CA")
(06054099999,2.297738007559921,-4518.939845242443,"LINDTORP AIRPORT, DA")
